SalesPrice,Sqft,LandSize,Age,Bathrooms,NBHD,GarageSize,NBHD_101,NBHD_102,NBHD_104,NBHD_105
86447,961,18958,79,2.5,101,0,1,0,0,0
179664,1120,13069,58,2.0,101,0,1,0,0,0
120159,957,13513,68,1.5,101,0,1,0,0,0
141077,946,16149,62,2.0,101,0,1,0,0,0
163925,1086,12233,76,2.5,101,0,1,0,0,0
164824,1360,12845,53,2.0,101,0,1,0,0,0
210869,1208,11760,32,1.5,101,0,1,0,0,0
207237,1421,11417,50,2.0,101,0,1,0,0,0
212063,1542,15390,80,2.0,101,0,1,0,0,0
173995,1167,12171,30,1.5,101,0,1,0,0,0
238614,1597,12193,38,2.0,101,0,1,0,0,0
138879,1129,12442,61,2.0,101,0,1,0,0,0
214446,1399,12701,37,2.0,101,0,1,0,0,0
235613,1538,17887,55,1.5,101,0,1,0,0,0
202524,1593,15527,67,2.5,101,264,1,0,0,0
244196,1510,11317,41,2.0,101,264,1,0,0,0
188301,1582,12927,75,2.5,101,0,1,0,0,0
195215,1209,15201,43,2.5,101,0,1,0,0,0
150157,1105,16067,70,2.5,101,0,1,0,0,0
147006,937,17330,63,2.0,101,0,1,0,0,0
170411,1207,13646,41,2.0,101,0,1,0,0,0
108829,1019,19468,71,1.5,101,264,1,0,0,0
232678,1629,11863,43,1.5,101,0,1,0,0,0
207210,1458,10128,31,2.0,101,0,1,0,0,0
217058,1496,16115,61,2.0,101,384,1,0,0,0
173099,998,18896,45,2.0,101,0,1,0,0,0
208133,1430,17101,52,2.0,101,0,1,0,0,0
132842,1159,10245,72,2.0,101,0,1,0,0,0
134603,972,10248,63,1.5,101,0,1,0,0,0
134005,1284,14903,65,2.0,101,0,1,0,0,0
191090,1084,11673,37,2.0,101,0,1,0,0,0
158942,1319,19589,78,2.5,101,0,1,0,0,0
212764,1488,10334,61,2.5,101,0,1,0,0,0
187155,1263,18307,41,2.5,101,0,1,0,0,0
178784,1086,13597,47,1.5,101,0,1,0,0,0
117512,1076,10916,42,2.0,101,0,1,0,0,0
126594,930,10154,66,2.0,101,0,1,0,0,0
204051,1622,16265,67,1.5,101,0,1,0,0,0
163516,1407,10062,67,2.0,101,0,1,0,0,0
263916,1630,13215,57,2.0,101,0,1,0,0,0
137368,1261,18076,78,2.0,101,0,1,0,0,0
216477,1631,15487,35,2.0,101,0,1,0,0,0
227892,1511,16143,41,1.5,101,0,1,0,0,0
133269,1059,11183,80,2.0,101,0,1,0,0,0
215416,1525,13490,65,2.5,101,0,1,0,0,0
187567,1509,17753,38,2.0,101,0,1,0,0,0
180985,1381,14634,56,1.5,101,264,1,0,0,0
134020,975,13092,61,1.5,101,0,1,0,0,0
154330,1247,18324,75,1.5,101,0,1,0,0,0
157569,969,18328,33,2.0,101,0,1,0,0,0
191623,1181,19480,34,2.5,101,0,1,0,0,0
198346,1412,13025,32,1.5,101,0,1,0,0,0
181502,1210,19550,67,1.5,101,0,1,0,0,0
284968,1524,13188,34,2.0,101,0,1,0,0,0
165751,1143,17195,69,2.0,101,0,1,0,0,0
106094,978,18581,79,1.5,101,0,1,0,0,0
215039,1575,17771,53,2.0,101,384,1,0,0,0
237018,1485,12432,73,2.0,101,0,1,0,0,0
197542,1591,12193,77,2.5,101,0,1,0,0,0
181543,1489,11364,48,2.0,101,0,1,0,0,0
186280,1548,19903,71,2.5,101,0,1,0,0,0
160355,1134,13084,61,2.5,101,0,1,0,0,0
223652,1281,11677,30,2.5,101,0,1,0,0,0
133265,937,14797,41,1.5,101,0,1,0,0,0
114603,1003,11014,69,2.0,101,264,1,0,0,0
255752,1609,17022,38,1.5,101,0,1,0,0,0
204698,1632,12681,66,2.0,101,0,1,0,0,0
174297,1388,18087,75,2.0,101,264,1,0,0,0
167159,1267,10674,72,2.0,101,264,1,0,0,0
218997,1341,18200,38,2.0,101,0,1,0,0,0
166946,1108,13141,52,2.5,101,0,1,0,0,0
188472,1645,18099,70,2.5,101,384,1,0,0,0
209671,1597,18478,66,2.0,101,0,1,0,0,0
175346,1102,11904,51,2.0,101,264,1,0,0,0
116796,1166,16078,72,2.0,101,0,1,0,0,0
163834,1208,13525,58,2.0,101,0,1,0,0,0
213444,1412,18320,69,2.0,101,264,1,0,0,0
146926,922,17224,49,1.5,101,0,1,0,0,0
210826,1356,13999,69,1.5,101,0,1,0,0,0
128341,1247,11350,76,1.5,101,0,1,0,0,0
227397,1617,18046,72,1.5,101,0,1,0,0,0
163761,1105,18158,50,2.0,101,384,1,0,0,0
185886,1212,18192,52,2.0,101,264,1,0,0,0
163353,1448,18492,73,2.0,101,0,1,0,0,0
137908,1055,18987,43,2.0,101,0,1,0,0,0
146703,1100,18292,68,2.0,101,0,1,0,0,0
169037,1234,12412,63,1.5,101,0,1,0,0,0
173104,1487,14357,45,2.5,101,0,1,0,0,0
255930,1426,12875,42,2.5,101,0,1,0,0,0
216177,1498,11220,33,2.0,101,0,1,0,0,0
240322,1485,10620,64,2.0,101,0,1,0,0,0
211657,1478,11431,46,1.5,101,0,1,0,0,0
188798,1478,12478,71,2.5,101,0,1,0,0,0
173775,1182,16324,63,2.0,101,0,1,0,0,0
123337,1068,12583,60,2.0,101,0,1,0,0,0
198862,1322,12725,44,2.0,101,264,1,0,0,0
174379,1110,19100,56,1.5,101,0,1,0,0,0
201289,1402,16254,57,2.0,101,264,1,0,0,0
124722,932,10499,63,2.5,101,0,1,0,0,0
177887,1182,10611,52,2.5,101,0,1,0,0,0
187006,1165,11340,40,1.5,101,0,1,0,0,0
283179,1583,14112,32,2.5,101,264,1,0,0,0
151430,1192,17332,74,2.0,101,0,1,0,0,0
183368,1371,19903,59,2.5,101,0,1,0,0,0
167536,1108,14416,32,2.0,101,0,1,0,0,0
169945,1280,15681,47,2.0,101,384,1,0,0,0
209888,1436,17474,35,2.5,101,0,1,0,0,0
194808,1272,16692,52,2.0,101,0,1,0,0,0
132510,1398,15467,80,2.0,101,0,1,0,0,0
159599,1034,13109,70,2.0,101,0,1,0,0,0
178267,1065,16416,64,2.5,101,0,1,0,0,0
194837,1359,16358,36,2.5,101,0,1,0,0,0
165092,1056,13740,67,2.0,101,384,1,0,0,0
178084,1267,11406,37,1.5,101,384,1,0,0,0
217959,1228,12592,31,2.0,101,0,1,0,0,0
201457,1406,10443,73,2.0,101,264,1,0,0,0
145910,1245,17753,78,2.0,101,0,1,0,0,0
177301,1190,17913,62,2.0,101,264,1,0,0,0
211372,1401,18411,34,2.0,101,0,1,0,0,0
183975,1169,13447,70,2.5,101,264,1,0,0,0
117900,927,16550,56,2.0,101,0,1,0,0,0
227984,1533,17899,37,2.0,101,264,1,0,0,0
201706,1553,13207,58,1.5,101,0,1,0,0,0
201320,1569,19544,49,2.0,101,0,1,0,0,0
201824,1565,13092,40,1.5,101,0,1,0,0,0
139387,1064,13296,74,2.5,101,0,1,0,0,0
242654,1567,19728,55,1.5,101,0,1,0,0,0
144557,1268,11462,77,2.5,101,0,1,0,0,0
180687,1302,15260,31,2.0,101,0,1,0,0,0
244282,1595,18729,49,2.5,101,264,1,0,0,0
168628,1126,10990,44,2.0,101,0,1,0,0,0
158438,1351,18000,32,2.5,101,264,1,0,0,0
138293,923,11624,50,2.5,101,0,1,0,0,0
173786,1263,11702,71,2.0,101,0,1,0,0,0
204219,1306,11801,35,2.0,101,264,1,0,0,0
173710,987,13113,60,2.0,101,384,1,0,0,0
200839,1348,16011,54,2.0,101,0,1,0,0,0
133894,1037,15463,51,1.5,101,0,1,0,0,0
147106,942,16531,42,2.0,101,0,1,0,0,0
189255,1213,16337,41,2.0,101,0,1,0,0,0
245173,1467,18073,33,1.5,101,0,1,0,0,0
156340,954,19017,60,2.0,101,0,1,0,0,0
219215,1228,14293,32,2.0,101,264,1,0,0,0
210371,1291,12459,50,2.0,101,0,1,0,0,0
192780,1595,19033,75,1.5,101,0,1,0,0,0
188125,1355,10098,68,2.5,101,0,1,0,0,0
159460,1504,15336,70,2.5,101,0,1,0,0,0
219589,1587,19962,47,2.5,101,0,1,0,0,0
177724,1457,13931,68,2.0,101,0,1,0,0,0
194714,1482,11708,76,2.5,101,0,1,0,0,0
140144,1015,15332,68,2.0,101,0,1,0,0,0
187830,1211,16012,74,2.0,101,0,1,0,0,0
130698,1174,13722,71,1.5,101,0,1,0,0,0
222962,1398,17213,32,2.0,101,0,1,0,0,0
195881,1227,12658,37,2.5,101,264,1,0,0,0
167690,1399,19781,70,2.0,101,0,1,0,0,0
276492,1622,12928,37,2.0,101,0,1,0,0,0
192110,1115,13822,32,2.5,101,264,1,0,0,0
160975,1043,16800,50,2.0,101,384,1,0,0,0
143592,1051,19265,65,2.0,101,0,1,0,0,0
154432,1111,12059,62,2.5,101,0,1,0,0,0
204916,1426,15065,38,2.5,101,264,1,0,0,0
106981,1086,10357,75,2.0,101,0,1,0,0,0
159378,1266,12340,76,2.5,101,0,1,0,0,0
180228,1146,15207,77,2.0,101,264,1,0,0,0
136925,1314,16655,64,2.0,101,0,1,0,0,0
242929,1388,13163,46,2.5,101,264,1,0,0,0
197767,1253,11784,46,2.0,101,0,1,0,0,0
195642,1291,17646,58,1.5,101,264,1,0,0,0
215248,1607,11595,43,2.5,101,264,1,0,0,0
202678,1228,17985,71,2.5,101,264,1,0,0,0
107678,941,14227,53,1.5,101,0,1,0,0,0
266383,1499,16046,40,2.0,101,0,1,0,0,0
158789,1385,13180,63,2.0,101,0,1,0,0,0
164523,1183,12407,34,2.0,101,0,1,0,0,0
183557,1118,19368,64,2.0,101,264,1,0,0,0
194223,910,18704,36,1.5,101,264,1,0,0,0
186146,1391,13229,58,1.5,101,0,1,0,0,0
152785,994,10268,34,2.0,101,0,1,0,0,0
197724,1523,11654,46,2.0,101,0,1,0,0,0
241620,1449,13150,46,1.5,101,0,1,0,0,0
147324,1035,18136,40,2.0,101,0,1,0,0,0
156904,1345,11757,61,2.0,101,0,1,0,0,0
140861,904,14938,42,2.5,101,0,1,0,0,0
204134,1355,16931,56,1.5,101,264,1,0,0,0
181892,1156,11489,44,1.5,101,0,1,0,0,0
164950,1120,14053,41,2.0,101,0,1,0,0,0
228528,1538,13597,76,2.5,101,0,1,0,0,0
203465,1221,19774,48,2.0,101,264,1,0,0,0
166634,1366,15786,33,1.5,101,0,1,0,0,0
193536,1394,14963,60,1.5,101,264,1,0,0,0
147463,916,19412,30,2.0,101,264,1,0,0,0
190557,1304,12021,39,1.5,101,0,1,0,0,0
180436,1193,19476,66,2.0,101,264,1,0,0,0
172793,1359,10725,43,1.5,101,0,1,0,0,0
178303,1008,17603,53,2.0,101,0,1,0,0,0
184099,1235,19774,50,2.0,101,0,1,0,0,0
137436,941,19009,42,1.5,101,0,1,0,0,0
154518,1077,17670,65,2.0,101,0,1,0,0,0
117075,993,11453,31,2.5,101,0,1,0,0,0
230549,1406,13221,41,2.0,101,264,1,0,0,0
115445,956,18928,61,2.0,101,0,1,0,0,0
133414,1122,17771,78,2.0,101,0,1,0,0,0
207354,1216,15957,56,1.5,101,0,1,0,0,0
141604,1079,17871,42,2.0,101,0,1,0,0,0
152609,1142,16121,72,1.5,101,0,1,0,0,0
232638,1406,18662,50,2.0,101,264,1,0,0,0
166963,1148,12674,47,2.5,101,0,1,0,0,0
105609,998,11169,74,2.0,101,0,1,0,0,0
157695,934,10367,33,2.0,101,264,1,0,0,0
138911,1027,12326,58,2.5,101,0,1,0,0,0
127472,908,11955,52,2.0,101,0,1,0,0,0
222059,1603,19833,67,1.5,101,0,1,0,0,0
235550,1607,17325,43,2.0,101,264,1,0,0,0
147301,1422,17761,80,2.0,101,0,1,0,0,0
148799,1142,17357,75,2.0,101,264,1,0,0,0
212593,1528,12127,70,2.5,101,264,1,0,0,0
156562,1145,11812,64,2.5,101,0,1,0,0,0
193244,1040,11881,43,2.0,101,0,1,0,0,0
166994,1113,11056,44,1.5,101,0,1,0,0,0
255943,1296,17452,46,1.5,101,0,1,0,0,0
193652,1134,15724,36,2.0,101,264,1,0,0,0
186185,1311,11735,67,1.5,101,0,1,0,0,0
178356,1608,18980,77,2.5,101,0,1,0,0,0
190044,1551,16704,59,2.0,101,0,1,0,0,0
195318,1501,15666,49,2.0,101,0,1,0,0,0
207686,1245,16924,47,2.5,101,0,1,0,0,0
228514,1572,16085,40,2.0,101,0,1,0,0,0
154259,982,11847,64,2.0,101,384,1,0,0,0
184225,1550,11822,39,2.0,101,0,1,0,0,0
201518,1526,15646,40,2.0,101,0,1,0,0,0
143106,1338,17024,61,2.0,101,0,1,0,0,0
147423,1141,16062,76,1.5,101,264,1,0,0,0
209284,1518,12654,78,2.5,101,0,1,0,0,0
169605,1361,13796,33,1.5,101,0,1,0,0,0
152724,1043,10146,58,2.0,101,0,1,0,0,0
187341,1278,16342,75,2.0,101,0,1,0,0,0
158797,1549,16003,47,1.5,101,264,1,0,0,0
213613,1396,12914,69,2.5,101,264,1,0,0,0
117808,1114,12451,78,2.5,101,0,1,0,0,0
153752,1303,14626,74,1.5,101,0,1,0,0,0
252109,1251,18248,42,2.5,101,384,1,0,0,0
184422,1401,18893,70,2.0,101,0,1,0,0,0
112980,1006,14182,74,1.5,101,264,1,0,0,0
190978,1461,10793,78,1.5,101,0,1,0,0,0
188151,1514,19869,70,1.5,101,0,1,0,0,0
172286,1634,12535,75,1.5,101,0,1,0,0,0
235369,1641,10630,40,2.5,101,0,1,0,0,0
152047,1016,10452,37,2.5,101,0,1,0,0,0
153760,940,15147,34,1.5,101,384,1,0,0,0
237428,1532,11765,39,1.5,101,384,1,0,0,0
227290,1629,11674,53,2.5,101,0,1,0,0,0
186668,1496,12031,78,1.5,101,0,1,0,0,0
204404,1600,19187,45,1.5,101,0,1,0,0,0
206732,1279,18433,50,2.5,101,264,1,0,0,0
188406,1277,10836,67,2.5,101,384,1,0,0,0
156905,941,19380,62,2.0,101,0,1,0,0,0
159735,1446,17321,76,1.5,101,0,1,0,0,0
139753,912,10181,48,2.0,101,0,1,0,0,0
196264,1333,14135,36,2.5,101,0,1,0,0,0
219407,1275,17621,43,2.0,101,0,1,0,0,0
215228,1354,15757,36,1.5,101,0,1,0,0,0
215159,1396,11444,52,2.5,101,264,1,0,0,0
162044,1072,19763,41,2.0,101,0,1,0,0,0
203411,1353,18011,45,2.5,101,0,1,0,0,0
136873,1320,12094,68,2.0,101,264,1,0,0,0
196537,1408,16364,80,2.5,101,0,1,0,0,0
174155,1309,18596,67,1.5,101,384,1,0,0,0
238383,1615,13617,54,2.0,101,0,1,0,0,0
181034,1241,12456,34,2.5,101,0,1,0,0,0
139924,1165,19955,62,2.0,101,0,1,0,0,0
257182,1384,14139,53,2.0,101,0,1,0,0,0
162625,1218,13221,77,2.5,101,384,1,0,0,0
214525,1545,17713,35,2.5,101,0,1,0,0,0
234196,1355,16834,46,2.5,101,264,1,0,0,0
82564,918,15723,71,2.0,101,0,1,0,0,0
149884,1375,13228,59,1.5,101,0,1,0,0,0
241588,1495,15402,30,2.5,101,0,1,0,0,0
151560,1091,15394,70,2.0,101,264,1,0,0,0
147865,1121,18046,75,2.5,101,0,1,0,0,0
168135,1542,11332,77,1.5,101,0,1,0,0,0
100603,920,10071,75,2.0,101,0,1,0,0,0
85693,1245,19449,74,1.5,101,0,1,0,0,0
227138,1499,10476,39,1.5,101,0,1,0,0,0
126913,1004,15423,48,2.5,101,264,1,0,0,0
209790,1263,11894,33,2.0,101,0,1,0,0,0
179671,1097,18522,42,2.5,101,0,1,0,0,0
160902,1314,15109,55,1.5,101,0,1,0,0,0
249065,1643,17631,54,2.5,101,264,1,0,0,0
185278,1178,18909,52,2.5,101,264,1,0,0,0
260640,1644,19807,33,2.0,101,0,1,0,0,0
235933,1597,18795,37,2.0,101,0,1,0,0,0
133844,1185,17072,80,2.0,101,0,1,0,0,0
235042,1442,13953,33,2.5,101,0,1,0,0,0
127542,1006,15532,76,2.5,101,264,1,0,0,0
244924,1630,11986,55,2.0,101,264,1,0,0,0
214108,1203,14960,38,2.0,101,0,1,0,0,0
156088,1195,10491,75,2.0,101,0,1,0,0,0
134045,1367,16287,76,2.0,101,0,1,0,0,0
146702,992,13402,55,2.0,101,0,1,0,0,0
215036,1357,10083,56,2.0,101,0,1,0,0,0
194235,1537,18708,52,2.0,101,0,1,0,0,0
245669,1381,13364,54,2.0,101,264,1,0,0,0
133612,1274,19768,78,1.5,101,264,1,0,0,0
197773,1203,13765,67,2.0,101,0,1,0,0,0
177145,1560,15750,76,2.0,101,0,1,0,0,0
173507,1394,19572,80,1.5,101,0,1,0,0,0
247964,1485,14393,40,1.5,101,0,1,0,0,0
144043,968,18242,40,1.5,101,0,1,0,0,0
163968,1316,10154,70,1.5,101,0,1,0,0,0
236135,1379,16675,38,2.0,101,0,1,0,0,0
162839,1208,11893,41,1.5,101,0,1,0,0,0
224688,1403,18515,58,2.5,101,0,1,0,0,0
224482,1500,17051,60,2.0,101,0,1,0,0,0
274315,1575,17446,55,2.5,101,264,1,0,0,0
187786,1270,17337,48,2.0,101,0,1,0,0,0
157748,1389,19860,73,2.0,101,264,1,0,0,0
158855,1183,10748,49,1.5,101,0,1,0,0,0
160689,1332,16478,68,2.0,101,0,1,0,0,0
149369,1118,15104,74,1.5,101,0,1,0,0,0
184846,1587,17296,70,1.5,101,0,1,0,0,0
201448,1423,18030,64,2.0,101,0,1,0,0,0
187984,1498,15463,65,1.5,101,0,1,0,0,0
137066,918,17591,55,2.0,101,0,1,0,0,0
167752,1205,18347,76,2.5,101,0,1,0,0,0
153059,1068,13735,44,2.0,101,0,1,0,0,0
215042,1442,12808,76,2.5,101,0,1,0,0,0
179739,1278,15936,33,2.0,101,0,1,0,0,0
198830,1280,14146,34,2.0,101,0,1,0,0,0
160553,1399,11102,77,1.5,101,0,1,0,0,0
178519,1518,18387,71,2.0,101,0,1,0,0,0
158275,1389,12195,69,2.0,101,0,1,0,0,0
128745,934,15755,44,2.0,101,0,1,0,0,0
218370,1341,10495,55,2.5,101,0,1,0,0,0
210767,1534,10990,57,2.0,101,0,1,0,0,0
147473,1371,15635,79,1.5,101,264,1,0,0,0
199186,1237,13557,42,2.5,101,0,1,0,0,0
169730,1362,10361,65,1.5,101,0,1,0,0,0
150992,1216,16782,70,1.5,101,0,1,0,0,0
187580,1410,14907,54,2.0,101,0,1,0,0,0
172145,1219,14083,35,2.0,101,0,1,0,0,0
163445,1236,17790,59,2.5,101,0,1,0,0,0
150973,986,11588,57,2.0,101,384,1,0,0,0
189389,1348,10046,60,1.5,101,0,1,0,0,0
200911,1415,15306,72,2.0,101,0,1,0,0,0
207239,1094,16740,34,2.0,101,0,1,0,0,0
234134,1499,10715,58,2.0,101,0,1,0,0,0
137534,1237,14830,44,1.5,101,0,1,0,0,0
138054,983,12803,69,2.0,101,0,1,0,0,0
141186,1525,12426,74,2.0,101,0,1,0,0,0
146135,1030,11840,46,1.5,101,0,1,0,0,0
139433,1423,12028,44,2.5,101,0,1,0,0,0
177681,1164,17932,46,1.5,101,0,1,0,0,0
250888,1450,12496,37,2.5,101,0,1,0,0,0
179291,1294,16347,58,2.0,101,264,1,0,0,0
138965,1081,11250,74,2.0,101,0,1,0,0,0
181269,1238,18805,62,2.5,101,384,1,0,0,0
171977,1324,18472,64,2.0,101,0,1,0,0,0
199149,1522,10665,65,2.0,101,0,1,0,0,0
191950,1611,17021,41,2.0,101,0,1,0,0,0
165750,1387,17600,78,2.5,101,0,1,0,0,0
142718,1010,18079,71,2.0,101,0,1,0,0,0
185793,1188,18155,31,2.0,101,264,1,0,0,0
176375,1253,14186,36,2.0,101,0,1,0,0,0
259291,1596,11552,40,1.5,101,0,1,0,0,0
197897,1397,10339,58,1.5,101,0,1,0,0,0
175369,1037,10464,35,2.0,101,0,1,0,0,0
216479,1104,19791,46,2.0,101,0,1,0,0,0
147533,1010,18394,63,2.0,101,0,1,0,0,0
133149,1203,12342,75,2.5,101,0,1,0,0,0
166703,1184,13938,71,1.5,101,0,1,0,0,0
203462,1416,18248,51,2.0,101,384,1,0,0,0
127360,1004,18850,48,2.0,101,0,1,0,0,0
187445,1320,10472,48,2.0,101,0,1,0,0,0
207887,1098,12631,41,2.0,101,264,1,0,0,0
108663,984,12676,76,1.5,101,0,1,0,0,0
174978,1421,19939,38,1.5,101,0,1,0,0,0
176713,1319,15331,52,1.5,101,0,1,0,0,0
140866,1051,18656,65,2.5,101,0,1,0,0,0
184816,1453,14634,78,2.0,101,0,1,0,0,0
241590,1474,19808,43,2.0,101,264,1,0,0,0
117119,910,11730,31,2.0,101,0,1,0,0,0
165003,1048,11804,42,2.0,101,0,1,0,0,0
191360,1607,19100,45,1.5,101,0,1,0,0,0
290675,1558,16461,31,2.0,101,0,1,0,0,0
179953,1336,10594,32,2.0,101,0,1,0,0,0
107759,901,12245,67,2.0,101,0,1,0,0,0
117789,908,11975,65,2.0,101,0,1,0,0,0
195687,1391,15450,54,2.5,101,264,1,0,0,0
232576,1527,15852,53,2.0,101,384,1,0,0,0
146044,1163,17814,48,2.5,101,384,1,0,0,0
167827,1506,16498,75,1.5,101,264,1,0,0,0
126939,991,19406,79,2.0,101,384,1,0,0,0
128334,1120,13654,74,2.0,101,264,1,0,0,0
185998,1246,10795,35,1.5,101,264,1,0,0,0
205664,1232,10262,37,1.5,101,0,1,0,0,0
210238,1311,18643,64,1.5,101,0,1,0,0,0
208149,1261,15318,51,2.0,101,384,1,0,0,0
232704,1173,15681,35,2.0,101,0,1,0,0,0
123939,924,16809,66,2.5,101,384,1,0,0,0
231016,1361,12834,55,2.0,101,264,1,0,0,0
153984,1073,19924,51,2.5,101,0,1,0,0,0
163139,1222,18560,79,2.0,101,0,1,0,0,0
204734,1395,11704,36,1.5,101,0,1,0,0,0
178722,1123,13569,50,1.5,101,384,1,0,0,0
168084,1157,12427,58,2.5,101,0,1,0,0,0
184871,1193,11821,42,2.0,101,0,1,0,0,0
241662,1483,16672,57,2.5,101,0,1,0,0,0
168093,1085,11190,47,2.5,101,0,1,0,0,0
184904,1292,17589,72,2.0,101,264,1,0,0,0
133015,917,13435,60,2.5,101,0,1,0,0,0
135084,1152,19549,76,2.0,101,0,1,0,0,0
154812,1064,18889,52,1.5,101,0,1,0,0,0
147159,960,19363,49,2.5,101,264,1,0,0,0
194340,1147,19108,48,2.0,101,0,1,0,0,0
215796,1489,16175,72,2.5,101,0,1,0,0,0
162755,1181,15497,67,2.0,101,0,1,0,0,0
138523,926,11543,50,2.0,101,0,1,0,0,0
159980,1107,13526,52,2.5,101,0,1,0,0,0
155720,1518,15120,72,1.5,101,264,1,0,0,0
183503,1141,12464,48,2.5,101,0,1,0,0,0
185847,1383,19333,74,2.0,101,0,1,0,0,0
223409,1638,11684,62,2.0,101,0,1,0,0,0
122399,997,17161,78,2.0,101,0,1,0,0,0
182924,1443,15351,64,2.5,101,0,1,0,0,0
182637,1189,15580,47,2.0,101,384,1,0,0,0
216814,1477,19763,61,1.5,101,0,1,0,0,0
189673,1446,13655,75,2.0,101,0,1,0,0,0
221542,1248,19569,45,2.0,101,0,1,0,0,0
166539,1171,14079,58,2.0,101,0,1,0,0,0
162816,1233,15259,48,2.0,101,0,1,0,0,0
204978,1440,19003,33,2.0,101,0,1,0,0,0
177691,1505,14116,62,2.0,101,0,1,0,0,0
221261,1420,13036,53,2.5,101,0,1,0,0,0
201924,1553,12568,72,2.0,101,0,1,0,0,0
156806,1141,11666,32,2.5,101,264,1,0,0,0
157179,991,16406,62,2.0,101,264,1,0,0,0
167115,1063,18396,55,2.5,101,0,1,0,0,0
128399,1034,14510,73,2.0,101,0,1,0,0,0
111802,1087,18987,55,2.0,101,0,1,0,0,0
214619,1149,14691,36,2.0,101,264,1,0,0,0
189147,1579,13561,50,1.5,101,264,1,0,0,0
234096,1351,14508,49,2.5,101,0,1,0,0,0
208556,1329,16578,56,2.0,101,0,1,0,0,0
136679,933,13196,58,2.0,101,0,1,0,0,0
153102,903,19536,39,2.5,101,0,1,0,0,0
154925,1162,15990,30,2.0,101,0,1,0,0,0
250207,1566,18210,36,2.0,101,384,1,0,0,0
185984,937,19488,39,2.0,101,0,1,0,0,0
165984,1010,11045,54,2.0,101,264,1,0,0,0
143445,1271,13123,75,2.5,101,264,1,0,0,0
159324,1045,12143,58,2.0,101,0,1,0,0,0
190005,950,11522,46,2.5,101,264,1,0,0,0
238410,1566,15934,45,2.0,101,0,1,0,0,0
